,Region_x,Happiness Score,Lower Confidence Interval,Upper Confidence Interval,Economy (GDP per Capita),Family,Health (Life Expectancy),Freedom,Trust (Government Corruption),Generosity,Dystopia Residual,Region_y,Population (millions),HDI,GDP per Capita,Cropland Footprint,Grazing Footprint,Forest Footprint,Carbon Footprint,Fish Footprint,Total Ecological Footprint,Cropland,Grazing Land,Forest Land,Fishing Water,Urban Land,Total Biocapacity,Biocapacity Deficit or Reserve,Earths Required,Countries Required,Data Quality
0,Southern Asia,3.1915,3.025,3.3625,0.342,0.07341,0.1785,0.19,0.08405,0.3075,2.0534999999999997,Middle East/Central Asia,36.3495,0.4685,5938.9115,0.34950000000000003,0.274,0.10299,0.48019999999999996,0.04059,1.054,0.16679000000000002,0.252885,2.7514,0.41495,0.045,3.0858499999999998,1.254,0.6065,3.1294999999999997,6
1,Central and Eastern Europe,4.927,4.8004999999999995,4.513,1.026,0.518,0.7745,0.34199999999999997,0.0277975,0.17099999999999999,2.0534999999999997,Northern/Eastern Europe,36.3495,0.726,5938.9115,0.7224999999999999,0.274,0.2935,0.48019999999999996,0.04059,2.345,0.5085000000000001,0.252885,2.7514,0.41495,0.045,3.0858499999999998,1.254,1.3525,3.1294999999999997,6
2,Middle East and Northern Africa,6.082000000000001,5.9825,6.234,1.026,0.8135,0.655,0.19,0.14,0.10265,3.426,Africa,36.3495,0.726,5938.9115,0.536,0.089765,0.10299,1.4595,0.04059,2.345,0.16679000000000002,0.252885,2.7514,0.41495,0.014865,3.0858499999999998,1.254,1.3525,3.1294999999999997,5
3,Sub-Saharan Africa,3.7714999999999996,3.6185,3.939,0.798,0.6659999999999999,0.0590235,0.037746,0.08405,0.10265,2.0534999999999997,Africa,36.3495,0.554,5938.9115,0.34950000000000003,0.089765,0.10299,0.48019999999999996,0.123,1.054,0.16679000000000002,1.286,2.7514,0.41495,0.045,3.0858499999999998,1.254,0.6065,3.1294999999999997,6
4,Latin America and Caribbean,6.6595,6.573499999999999,6.808,1.254,1.109,0.655,0.41800000000000004,0.08405,0.10265,3.1515,Latin America,36.3495,0.8115,17434.9365,0.7224999999999999,0.8220000000000001,0.2935,1.4595,0.123,3.6285,2.5404999999999998,1.8005,2.7514,1.269,0.105,9.325,1.254,2.094,3.1294999999999997,6
5,Central and Eastern Europe,4.349,4.2095,4.513,0.798,0.6659999999999999,0.655,0.11405,0.0277975,0.10265,2.0534999999999997,Middle East/Central Asia,36.3495,0.726,5938.9115,0.7224999999999999,0.089765,0.2935,0.48019999999999996,0.04059,2.345,0.5085000000000001,0.252885,2.7514,0.41495,0.075,3.0858499999999998,1.254,1.3525,3.1294999999999997,3B
6,Australia and New Zealand,7.237,7.1645,7.382,1.4820000000000002,1.109,0.8935,0.5700000000000001,0.30900000000000005,0.44399999999999995,2.6025,Asia-Pacific,36.3495,0.897,63190.2605,2.587,0.6395,0.8594999999999999,4.3785,0.123,8.7615,5.250500000000001,5.915,2.7514,2.96,0.135,15.508500000000002,7.4115,5.061,3.1294999999999997,5
7,Western Europe,7.237,7.1645,7.382,1.4820000000000002,1.109,0.7745,0.5700000000000001,0.1965,0.3075,2.6025,European Union,36.3495,0.897,51751.4295,0.909,0.274,0.6705,4.3785,0.04059,6.195,0.847,0.252885,2.7514,0.41495,0.135,3.0858499999999998,-4.9035,3.5774999999999997,3.1294999999999997,5
8,Central and Eastern Europe,5.5045,5.391500000000001,5.087,1.026,0.8135,0.5355,0.34199999999999997,0.1965,0.03374,2.328,Middle East/Central Asia,36.3495,0.726,5938.9115,0.7224999999999999,0.274,0.10299,1.4595,0.04059,2.345,0.5085000000000001,0.252885,2.7514,0.41495,0.045,3.0858499999999998,1.254,1.3525,3.1294999999999997,6
9,Middle East and Northern Africa,6.082000000000001,5.9825,6.234,1.4820000000000002,0.961,0.655,0.494,0.253,0.17099999999999999,2.328,Middle East/Central Asia,36.3495,0.8115,28873.7675,0.536,0.4565,0.10299,6.325,0.04059,7.4784999999999995,0.16679000000000002,0.252885,2.7514,0.41495,0.105,3.0858499999999998,-4.9035,4.319,15.965,3L
10,Southern Asia,4.927,4.8004999999999995,4.513,0.5700000000000001,0.22199999999999998,0.5355,0.41800000000000004,0.14,0.17099999999999999,2.6025,Asia-Pacific,185.26850000000002,0.554,5938.9115,0.34950000000000003,0.089765,0.10299,0.48019999999999996,0.04059,1.054,0.16679000000000002,0.252885,2.7514,0.41495,0.075,3.0858499999999998,1.254,0.6065,3.1294999999999997,6
11,Central and Eastern Europe,6.082000000000001,5.9825,5.6605,1.026,1.109,0.655,0.266,0.1965,0.17099999999999999,2.328,Northern/Eastern Europe,36.3495,0.8115,5938.9115,1.282,0.089765,0.8594999999999999,2.4325,0.04059,4.9115,1.5245,0.252885,2.7514,0.41495,0.075,3.0858499999999998,1.254,2.836,3.1294999999999997,6
12,Western Europe,6.6595,6.573499999999999,6.808,1.4820000000000002,1.109,0.7745,0.494,0.253,0.239,2.6025,European Union,36.3495,0.897,51751.4295,1.0955,0.4565,1.048,4.3785,0.123,7.4784999999999995,0.5085000000000001,0.252885,2.7514,0.41495,0.255,3.0858499999999998,-4.9035,4.319,3.1294999999999997,6
13,Latin America and Caribbean,6.082000000000001,5.9825,6.234,0.798,0.6659999999999999,0.4165,0.494,0.08405,0.239,3.1515,,,,,,,,,,,,,,,,,,,,
14,Sub-Saharan Africa,3.7714999999999996,3.6185,3.3625,0.342,0.07341,0.1785,0.41800000000000004,0.08405,0.17099999999999999,2.0534999999999997,Africa,36.3495,0.4685,5938.9115,0.536,0.089765,0.2935,0.48019999999999996,0.04059,1.054,0.5085000000000001,0.252885,2.7514,0.41495,0.045,3.0858499999999998,1.254,0.6065,3.1294999999999997,6
15,Southern Asia,4.927,5.391500000000001,5.087,0.798,0.961,0.5355,0.494,0.14,0.512,1.7785,Asia-Pacific,36.3495,0.554,5938.9115,0.536,0.4565,2.9355,0.48019999999999996,0.04059,4.9115,0.16679000000000002,0.252885,2.7514,0.41495,0.255,3.0858499999999998,1.254,2.836,3.1294999999999997,3B
16,Latin America and Caribbean,6.082000000000001,5.9825,5.6605,0.798,0.8135,0.4165,0.494,0.08405,0.239,2.877,Latin America,36.3495,0.64,5938.9115,0.34950000000000003,1.7349999999999999,0.10299,0.48019999999999996,0.04059,2.345,0.5085000000000001,2.315,13.994,0.41495,0.045,15.508500000000002,13.568999999999999,1.3525,3.1294999999999997,5
17,Central and Eastern Europe,4.927,4.8004999999999995,5.087,1.026,0.6659999999999999,0.655,0.11405,0.0277975,0.3075,2.6025,Northern/Eastern Europe,36.3495,0.726,5938.9115,0.7224999999999999,0.274,0.482,1.4595,0.04059,3.6285,0.16679000000000002,0.252885,2.7514,0.41495,0.014865,3.0858499999999998,1.254,2.094,3.1294999999999997,5
18,Sub-Saharan Africa,3.7714999999999996,3.6185,3.939,1.026,0.961,0.2975,0.41800000000000004,0.08405,0.10265,0.9535,Africa,36.3495,0.726,5938.9115,0.34950000000000003,0.8220000000000001,0.2935,2.4325,0.04059,3.6285,0.16679000000000002,2.315,2.7514,0.41495,0.014865,3.0858499999999998,1.254,2.094,3.1294999999999997,3B
19,Latin America and Caribbean,7.237,7.1645,6.808,1.026,1.109,0.655,0.41800000000000004,0.14,0.17099999999999999,3.426,Latin America,185.26850000000002,0.726,17434.9365,0.536,0.8220000000000001,0.6705,0.48019999999999996,0.04059,3.6285,0.847,0.7715,8.3965,0.41495,0.075,9.325,7.4115,2.094,3.1294999999999997,5
